

 One-dimensional plot values
 Input line #      35
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.17444       0.04361       0.17444        1.375488E+17
      0.17500       0.04375       0.17500        1.253437E+17
      0.17556       0.04389       0.17556        1.159811E+17
      0.17600       0.04400       0.17600        1.054374E+17
      0.17667       0.04417       0.17667        9.408664E+16
      0.17700       0.04425       0.17700        8.565976E+16
      0.17778       0.04444       0.17778        7.248947E+16
      0.17800       0.04450       0.17800        6.662154E+16
      0.17842       0.04461       0.17842        5.957955E+16
      0.17857       0.04464       0.17857        5.544907E+16
      0.17900       0.04475       0.17900        4.897120E+16
      0.17947       0.04487       0.17947        4.141047E+16
      0.17952       0.04488       0.17952        4.004898E+16
      0.18000       0.04500       0.18000        3.329814E+16
      0.18050       0.04513       0.18050        2.801012E+16
      0.18056       0.04514       0.18056        2.759026E+16
      0.18100       0.04525       0.18100        2.305773E+16
      0.18105       0.04526       0.18105        2.267476E+16
      0.18143       0.04536       0.18143        1.895522E+16
      0.18150       0.04537       0.18150        1.847196E+16
      0.18158       0.04539       0.18158        1.793126E+16
      0.18190       0.04548       0.18190        1.487842E+16
      0.18200       0.04550       0.18200        1.427472E+16
      0.18211       0.04553       0.18211        1.360218E+16
      0.18238       0.04560       0.18238        1.117918E+16
      0.18250       0.04563       0.18250        1.047854E+16
      0.18263       0.04566       0.18263        9.701567E+15
      0.18286       0.04571       0.18286        7.860302E+15
      0.18327       0.04582       0.18327        4.923349E+15
      0.18333       0.04583       0.18333        4.602477E+15
      0.18341       0.04585       0.18341        4.223955E+15
      0.18350       0.04587       0.18350        3.793773E+15
      0.18361       0.04590       0.18361        3.271449E+15
      0.18375       0.04594       0.18375        2.496930E+15
      0.18389       0.04597       0.18389        1.890316E+15
      0.18400       0.04600       0.18400        1.314637E+15
      0.18417       0.04604       0.18417        6.100712E+14
      0.18425       0.04606       0.18425        1.910954E+14
      0.18444       0.04611       0.18444       -5.691519E+14
      0.18450       0.04613       0.18450       -8.274893E+14
      0.18472       0.04618       0.18472       -1.663693E+15
