

 One-dimensional plot values
 Input line #      36
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.18050       0.04513       0.18050       -1.024539E+17
      0.18053       0.04513       0.18053       -1.015588E+17
      0.18095       0.04524       0.18095       -8.335952E+16
      0.18100       0.04525       0.18100       -8.182347E+16
      0.18105       0.04526       0.18105       -8.010117E+16
      0.18143       0.04536       0.18143       -6.459070E+16
      0.18188       0.04547       0.18188       -4.756944E+16
      0.18200       0.04550       0.18200       -4.258014E+16
      0.18222       0.04556       0.18222       -3.495674E+16
      0.18225       0.04556       0.18225       -3.387136E+16
      0.18250       0.04563       0.18250       -2.552832E+16
      0.18275       0.04569       0.18275       -1.789533E+16
      0.18278       0.04569       0.18278       -1.717216E+16
      0.18300       0.04575       0.18300       -1.056286E+16
      0.18306       0.04576       0.18306       -9.141370E+15
      0.18325       0.04581       0.18325       -3.570525E+15
      0.18333       0.04583       0.18333       -1.540548E+15
      0.18350       0.04587       0.18350        3.112054E+15
      0.18361       0.04590       0.18361        5.759125E+15
      0.18375       0.04594       0.18375        9.465372E+15
      0.18389       0.04597       0.18389        1.260886E+16
      0.18400       0.04600       0.18400        1.549973E+16
      0.18417       0.04604       0.18417        1.917019E+16
      0.18425       0.04606       0.18425        2.122582E+16
      0.18444       0.04611       0.18444        2.528581E+16
      0.18450       0.04613       0.18450        2.662360E+16
      0.18472       0.04618       0.18472        3.111401E+16
      0.18475       0.04619       0.18475        3.174251E+16
      0.18500       0.04625       0.18500        3.652343E+16
      0.18550       0.04638       0.18550        4.422781E+16
      0.18556       0.04639       0.18556        4.486708E+16
      0.18600       0.04650       0.18600        5.186295E+16
      0.18625       0.04656       0.18625        5.433918E+16
      0.18714       0.04679       0.18714        6.501391E+16
      0.18789       0.04697       0.18789        7.079036E+16
      0.18800       0.04700       0.18800        7.217103E+16
      0.18810       0.04702       0.18810        7.327907E+16
      0.18895       0.04724       0.18895        7.819989E+16
      0.18900       0.04725       0.18900        7.872182E+16
